x,y
1,0.522938334
2,0.193704886
3,0.11156397
4,0.06789988
5,0.03839416
6,0.023801123
7,0.014754677
8,0.008816324
9,0.005465373
10,0.00351501
11,0.002179008
12,0.001401411
13,0.000918035
14,0.000696709
15,0.00049124
16,0.000304527
17,0.00023111
18,0.000151395
19,0.000151395
20,0.0001192
21,0.000114896
22,8.10E-05
23,6.38E-05
24,4.58E-05
25,5.32E-05
26,4.06E-05
27,2.41E-05
28,4.93E-05
29,3.48E-05
30,2.89E-05
31,1.17E-05
32,1.87E-05
33,1.22E-05
34,0.00E+00
35,1.26E-05
36,0.00E+00
37,0.00E+00
38,1.24E-05
