x,Y
1,0.217830166
2,0.140194334
3,0.118839312
4,0.097104829
5,0.073726498
6,0.061359073
7,0.049224919
8,0.03877187
9,0.031104482
10,0.026366509
11,0.020767507
12,0.016969345
13,0.014651066
14,0.011753723
15,0.009604088
16,0.007427
17,0.006652219
18,0.005435596
19,0.004693009
20,0.00405187
21,0.003191444
22,0.002806505
23,0.002335721
24,0.00209206
25,0.001908542
26,0.00155949
27,0.001120577
28,0.001396804
29,0.001041223
30,0.000915635
31,0.000721198
32,0.000708076
33,0.000721198
34,0.000358942
35,0.000431289
36,0.000508791
37,0.000272525
38,0.000333523
39,0.000352411
40,0.000231013
41,0.000372368
42,0.000214654
43,0.000192261
44,0.000175396
45,0.000131548
46,0.000309905
47,0.00016001
48,7.58E-05
49,9.11E-05
50,0.000126031
51,6.43E-05
52,6.43E-05
53,8.16E-05
54,8.16E-05
55,6.92E-05
56,7.87E-05
57,7.87E-05
58,7.87E-05
59,6.79E-05
60,7.58E-05
61,3.38E-05
62,3.92E-05
63,6.08E-05
64,6.08E-05
65,6.08E-05
66,9.45E-05
67,5.65E-05
68,5.65E-05
69,3.84E-05
70,3.92E-05
71,7.45E-05
72,4.70E-05
73,4.70E-05
74,4.70E-05
75,9.45E-05
76,5.25E-05
77,3.51E-05
78,4.79E-05
79,2.81E-05
80,3.92E-05
81,3.92E-05
82,3.92E-05
83,3.92E-05
84,3.92E-05
85,2.81E-05
86,4.88E-05
87,4.88E-05
88,4.88E-05
89,4.88E-05
90,4.88E-05
91,2.81E-05
92,9.45E-05
93,3.84E-05
94,3.84E-05
95,3.84E-05
96,4.88E-05
97,2.81E-05
